pixel_x_250m,pixel_y_250m,depth_bin_10cm,observed_SOC_pct,predicted_SOC_pct,lower_90,upper_90,n_horizons
-54890,22321,5,0.6713333328564933,0.87569314,0.08982079979766844,1.6615654802023316,3
-54890,22321,8,0.44966665903726666,0.5134695,0.0,1.0648151463813782,3
-54890,22321,9,0.4876666764418232,0.4382972,0.0,0.9420018074867249,3
-54865,22530,0,2.2023333708445185,3.0839900666666664,0.012813846354166639,6.284218718031311,6
-54865,22530,2,1.7693332831064834,1.6777796333333335,0.004102270355224628,3.4294395432174682,3
-54865,22530,4,0.9389999707539833,0.7645530100000001,0.0,1.8001973425678506,3
-54865,22530,7,0.5333333313465066,0.51566843,0.0,1.3781414807532755,3
-54865,22530,8,0.2886666705210966,0.37809325,0.0,1.0905895902748108,3
-54865,22532,0,2.5309999982515934,2.2832905,0.5178273862152099,4.04875361378479,6
-54865,22532,2,1.2620000044504767,1.3092256,0.18778721594390868,2.4306639840560913,3
-54865,22532,6,0.5456666648387833,0.57944524,0.015267130830993625,1.1436233491690064,3
-54865,22532,8,0.3169999917348167,0.38204785999999996,0.0,0.7668222170804596,3
-54831,22517,0,2.426500002543127,2.410364216666667,0.2783968906613668,4.542331542671967,6
-54831,22517,1,2.2756667137145965,1.4442459,0.23220253515726733,2.6562892648427328,3
-54831,22517,4,1.7726666927337602,0.8784537566666666,0.003900154457092279,1.7643417371277872,3
-54831,22517,6,1.22000000874201,0.49571898,0.0,1.023528778717499,3
-54831,22517,8,0.6369999845822599,0.30859056,0.0,0.71553316597229,3
-54828,22509,0,3.477000077565505,3.08928395,0.44130147185821533,5.737266428141784,6
-54828,22509,3,1.8919999996821033,1.681299,0.18441620371246348,3.178181796287537,3
-54828,22509,6,1.2106666564941369,0.63100463,0.0,1.282631395727997,3
-54828,22509,8,0.94666665792465,0.40369213,0.0,0.9160466827458191,3
-54801,22643,0,2.9173333644866886,3.41401275,0.8195978005828857,6.008427699417115,6
-54801,22643,1,2.09699996312459,2.1185658,0.5484324715621947,3.6886991284378055,3
-54801,22643,3,1.6589999993642133,1.2836398,0.10826612656097412,2.459013473439026,3
-54801,22643,5,1.1676666736602732,0.76892453,0.04138445422103887,1.4964646057789615,3
-54801,22643,8,1.14466669162114,0.51375127,0.0,1.0580260769763183,3
-54797,22564,0,1.62850000460942,2.0838774,0.5183019195388794,3.6494528804611206,6
-54797,22564,1,1.47466663519541,1.6712264,0.45212365971221913,2.890329140287781,3
-54797,22564,3,0.5736666619777633,0.7185994,0.06680985398712158,1.3703889460128782,3
-54797,22564,7,0.2496666659911433,0.34656262,0.0,0.7084721883097839,3
-54792,22644,0,2.4380000233650168,3.0156167833333334,0.2346649257664999,5.796568640900166,6
-54792,22644,1,1.3436666727065998,1.7525201666666668,0.32622150861358645,3.178818824719747,3
-54792,22644,3,0.715499997138975,0.898534715,0.10628655535301212,1.690782874646988,2
